timeA,gX,gY,gZ
425,-3.87,-9.36,-4.34
425.5,3.05,-2.02,-4.97
426,0.14,1.96,-3.64
426.5,-1.1,-1.21,-4.41
427,2.92,1.66,-3.32
427.5,0.63,-1.09,-1.27
428,0.07,-1.65,-0.84
428.5,0.08,-8.1,1.5
429,-7.4,-1.88,-1.67
429.5,-7.06,-5.31,0.21
430,-0.84,-1.37,-0.16
430.5,-1.03,7.19,-2.74
431,-0.79,-1.16,-3.24
431.5,-6.85,-2.05,-2.11
432,-1.68,0.79,0.35
432.5,3.17,-0.43,-1.42
433,3.56,0.23,0.71
433.5,-5.87,-5.27,-3.37
434,-6.24,-9.1,2.12
434.5,5.48,-1.55,2.28
435,0.28,-1.25,0.39
435.5,-0.27,5.38,-1.79
436,-3.18,0.25,0.11
436.5,4.5,4.34,1.79
437,-0.33,-5.35,0.11
437.5,2.66,3.17,0.75
438,-4.31,-2.77,-1.37
438.5,0.93,4.5,0.69
439,1.1,-2.34,-0.4
439.5,-2.35,2.14,-0.55
440,3.25,-3.86,0.02
440.5,3.21,-4.99,-0.21
441,0.64,0.06,-3.14
441.5,-4.95,2.07,-1.25
442,-13.93,-9.38,0.48
442.5,2.21,2.32,0.4
443,6.9,3.99,-0.26
443.5,-0.15,-4.96,-0.55
444,0.98,0.15,-1.06
444.5,-2.78,5.35,-3.41
445,-0.69,-4.8,3.38
445.5,-11.08,-1.87,-0.86
446,-2.59,3.71,-1.23
446.5,-0.73,-1.13,0.13
447,1.41,-0.75,0.73
447.5,8.14,1.06,-0.13
448,2.26,0.31,-0.18
448.5,2.02,-0.64,0.23
449,3.42,1.31,1.85
449.5,-0.41,-0.85,0.04
450,0.88,0.14,-1.14
450.5,4.69,-1.32,1.81
451,-1.81,-2.8,-1.9
451.5,-2.7,-3.07,-0.45
452,2.75,-0.94,-4
452.5,-1.39,1.72,-6.07
453,0.15,0.75,-7.68
453.5,-4.78,-7.23,-8.18
454,-7.21,1.43,-8.09
454.5,-2.28,-2.87,-6.95
455,1.76,-2.26,-3.52
455.5,1.74,-4.24,-5.34
456,-6.35,-2.22,-4.76
456.5,-11.58,6.46,-5.59
457,0.23,5.07,-2.87
457.5,1.08,2.25,-2.62
458,2.66,0.45,-0.82
458.5,8.98,-1.33,-0.7
459,-7.08,1.98,-1.61
459.5,-9.9,2.09,-1.92
460,-0.68,-1.26,0.17
460.5,1.03,0.25,1.49
461,-9.14,-11.05,1
461.5,-2.51,-6.23,-4.82
462,2.19,1.69,0.39
462.5,-6.51,4.23,-0.49
463,-0.15,1.16,-0.87
463.5,-5.75,-0.31,-1.4
464,-0.26,0.42,-1.35
464.5,1.41,-0.12,-0.46
465,0.65,-0.2,0.49
465.5,-0.5,0.11,-0.83
466,-0.02,0.28,1.33
466.5,6.81,1.26,-0.75
467,5.32,-0.86,0.06
467.5,1.04,-2.12,-0.46
468,0.2,-3.9,-1.67
468.5,4.02,-12.19,-1.95
469,-1.06,-6.54,-6.65
469.5,11.29,1.89,-5.11
470,-1.15,-8.09,-6.55
470.5,1.27,3.08,-5.31
471,9.43,1.25,-2.01
471.5,6.01,6.19,-1.55
472,-11.4,3.15,-3.36
472.5,-1.27,5.69,-1.65
473,-5.05,-2.86,-0.72
473.5,2.54,-1,0.34
474,-8.2,0.99,-1.15
474.5,3.75,6.23,-4.17
475,-0.29,-3.43,-0.34
475.5,3.06,2.98,0.46
476,-4.73,3.54,-2.27
476.5,-7.88,-3.46,2.27
477,3.15,-9.74,0.52
477.5,-3.08,2.39,0.41
478,-0.24,-8.96,-3.32
478.5,-0.17,-2.11,0.98
479,0.68,1.58,-1.43
479.5,-0.43,-3.03,-1.76
480,-2.92,-1.02,-0.1
480.5,3.1,1.58,3.22
481,4.32,-0.19,1.08
481.5,0.44,-4.35,1.14
482,7.11,8.88,-1.65
482.5,-1.22,1.86,-2.83
483,-0.06,-1.43,-2.88
483.5,0.73,1.76,0.93
484,-1.63,-1.79,-2.05
484.5,4.88,0.8,-2.86
485,3.83,-7.3,1
485.5,-3.62,-1.54,-0.74
486,0.2,7.81,0.32
486.5,0.36,-8,1.38
487,14.89,-21.4,4
487.5,-21.34,15.81,-0.66
488,-4.01,-24.26,1.95
488.5,4.22,-8.98,0.55
489,-4.18,-4.83,0.84
489.5,2.32,-3.9,-2.45
490,2.27,2.64,2.6
490.5,-1.68,0.44,-1.83
491,3.22,7.5,2.46
491.5,-3.41,0.58,-2.42
492,2.8,-8.26,-1.6
492.5,-1.47,-5.39,-3.3
493,2.02,-3.73,1.76
493.5,1.57,-0.79,6.46
494,-3.4,-0.12,0.57
494.5,0.97,-0.97,-2.59
495,1.67,-4.36,-4.98
495.5,4.18,1.4,-2.43
496,4.68,-7.89,5.12
496.5,-1.18,3.84,-0.03
497,-9.55,3.18,2.53
497.5,-5.21,1.06,-1.96
498,-9.57,0.66,0.37
498.5,0.25,0.33,1.19
499,-16.27,-4.86,-0.67
499.5,-6.46,9.57,-1.53
500,-0.9,-5.87,-1.23
500.5,3.23,3.15,-2.78
501,3.05,0.15,3.17
501.5,0.05,1.48,1.04
502,-0.06,3.02,-2.31
502.5,4.25,5.19,-3.85
503,6.92,9.14,1.28
503.5,-2.61,3.47,0.21
504,2.52,-2.84,2.52
504.5,-2.74,-7.29,0.49
505,-0.38,4.28,4.19
505.5,0.15,-6.56,-4.37
506,3.05,5.45,2.24
506.5,6.03,0.92,0.66
507,-6.13,0.19,-2.68
507.5,1.53,-3.66,-1.84
508,-5.91,-1.26,-2.26
508.5,4.44,17.64,-3.05
509,-17.94,-7.15,1.03
509.5,2.01,2.68,-1.15
510,5.74,1.04,-0.01
510.5,2.81,-3.85,-1.21
511,-0.89,-9.56,0.85
511.5,-3.52,-15.3,-0.13
512,-2.95,8.75,-2.71
512.5,1.39,-7.31,0.08
513,-1.86,1.51,0.46
513.5,6.25,0.38,1.57
514,-5.57,-0.02,-0.88
514.5,-2.8,4.14,-4.43
515,-3.25,2.65,-0.44
515.5,-12.29,5.36,-2.3
516,-3.78,-1.28,1.54
516.5,3.63,1.03,0.18
517,0.21,-4.24,-1.24
517.5,-25.53,1.64,-4.6
518,-0.49,-16.47,-0.99
518.5,-4.29,2.11,0.29
519,14.22,-3.5,1.71
519.5,-10.88,1.93,-0.72
520,2.49,1.79,-1.37
520.5,1.65,2.13,0.35
521,-5.91,-0.02,-2.05
521.5,2.02,-1.38,0.82
522,-3.08,4.62,-2.69
522.5,-6.87,-2.9,-2.18
523,0.01,-0.89,2.45
523.5,-0.52,11.66,1.41
524,2.33,6.66,2.91
524.5,-1.57,1.82,-0.7
525,-6.31,2.37,0.08
525.5,1.16,0.75,0.74
526,0.42,1.4,-0.75
526.5,1.69,-4.73,-1.77
527,1.71,0.49,2.08
527.5,-9.53,9.09,-1.31
528,-0.67,-0.47,-3.17
528.5,-4.9,-2.03,-2.9
529,6.43,2.48,3.3
529.5,-1.03,5.48,-0.91
530,-0.79,0.86,0.11
530.5,-0.66,0.62,-2.24
531,-2.4,2.18,-1.24
531.5,-5.07,1.9,-0.36
532,-4.47,-5.5,0.71
532.5,-1.6,-0.32,-3.37
533,15.19,9.36,-3.07
533.5,9.56,6.44,4.48
534,-4.72,-12.29,6.78
534.5,10.66,7.96,-13.93
535,0.6,17.26,-3.74
535.5,-0.02,-4.93,-5.02
536,4.87,7.29,0.82
536.5,7.86,11.09,-0.19
537,-0.16,-2.55,0.01
537.5,7.64,-7.86,-1.73
538,0.87,1.64,0.64
538.5,-1.9,-1.7,-1.75
539,-1.02,-1.9,0.5
539.5,-4.95,3.3,-1.68
540,-1.61,-0.31,2.77
540.5,1.36,4.86,0.08
541,6.76,1.48,-0.17
541.5,0.62,1.1,1.02
542,0.93,-0.72,0.16
542.5,-1.13,4.73,-0.7
543,0.44,-3.68,3.7
543.5,1.19,-0.12,-0.01
544,1.74,-1.48,-0.1
544.5,-0.85,15.64,-0.43
545,2.74,-2.36,3.04
545.5,5.56,-0.03,-3.51
546,2.36,0.99,0.4
546.5,1.39,-9.41,-1.73
547,-4.32,-4.31,1.97
547.5,1.82,-0.42,-0.51
548,-0.47,-3.71,-0.31
548.5,-3.32,2.66,-1.75
549,0.76,-3,1.27
549.5,-6.68,-0.29,2.59
550,8.82,2.35,1.51
550.5,-2.9,-3.48,0.98
551,2.32,-4.79,-0.86
551.5,3.19,-0.99,-3.64
552,-2.64,-10,-1.88
552.5,1.99,4.49,2.27
553,-6.17,3.19,-3.96
553.5,5.14,3.32,0.5
554,-0.85,-3.8,1.81
554.5,1.05,4.32,0.8
555,-1.47,-2.15,-0.32
555.5,-3.1,3.79,0.22
556,3.75,-1.03,2.77
556.5,14.22,0.32,-2.38
557,0.19,1.69,4.5
557.5,-9.75,-3.64,-2.95
558,1.88,-3.83,-22.88
558.5,4.95,-1.88,5.03
559,-12.87,-2.05,8.43
559.5,-2.16,-6.28,5.05
560,4.08,2.9,-7.47
560.5,0.38,0.25,-11.79
561,2.36,3.31,6.47
561.5,3.71,4.12,7.07
562,-1.19,-1.01,-1.4
562.5,0.94,-0.97,-5.29
563,-5.53,-0.84,-9.74
563.5,-1.84,2.58,40.38
564,1.87,-4.22,-25.26
564.5,-8.81,-12.55,-2.8
565,-2.6,-6.35,0.63
565.5,-0.6,1.83,12.53
566,6.29,-5.59,-1.44
566.5,-2.41,2.18,5.32
567,-4.3,-3.96,9.67
567.5,4.39,-3.89,-40.97
568,9.8,2.52,-7.03
568.5,1.07,-2.16,-6.69
569,-4.05,0.08,-11.4
569.5,-33.69,6.88,17.53
570,4.88,-0.17,9.94
570.5,0.56,-2.11,-0.19
571,2.52,-3.44,-1.03
571.5,-0.82,2.68,-2.61
572,-0.41,2.1,6.44
572.5,1.18,2.03,-1.08
573,-0.88,-0.79,2.6
573.5,-2.72,-1.7,0.07
574,-2,7.34,-2.41
574.5,0.18,1.21,2.03
575,-1.21,0.57,-3.3
575.5,4.57,5.39,0.62
576,7.49,4.32,3.05
576.5,2.57,5.58,-1.24
577,5.57,-0.95,3.78
577.5,-0.71,13.66,-0.56
578,-5.19,2.56,-0.66
578.5,0.58,-3.26,-0.53
579,-1.22,0.08,0.9
579.5,3.34,0.45,4.6
580,-1.71,6.4,-0.44
580.5,-2.78,-0.47,0.51
581,-0.47,-1.08,-0.39
581.5,-2.79,0.82,-1.73
582,-2.04,0.56,1.91
582.5,5.1,-4.79,-0.16
583,0.82,13.96,-1.09
583.5,-0.33,-0.45,0.45
584,2.83,-5.64,1.5
584.5,0.13,-5.18,0.25
585,-2.68,-2.11,-1.54
585.5,-6.3,7.78,1.53
586,-0.08,-1.49,1.46
586.5,0.98,-6.56,-0.87
587,1.91,-0.26,0.7
587.5,0.05,0,-0.94
588,3.12,-2.07,1.21
588.5,-0.08,2.61,-2.28
589,-4.46,-2.14,-0.57
589.5,-2.52,0,2.2
590,3.54,-2.77,1.41
590.5,-3.09,-4.32,-1.18
591,-0.96,0.14,0.69
591.5,-2.99,-0.48,-2.62
592,-0.88,-0.11,0.31
592.5,1.17,-3.17,-1.34
593,3.54,-9.98,2.52
593.5,-0.99,18.09,1.75
594,-4.86,3.98,0.73
594.5,8.17,0,4.79
595,4.15,0.06,2.3
595.5,0.3,1.46,-0.81
596,-0.05,-3.45,0.35
596.5,0.77,3.73,-0.34
597,-2.65,-1.89,0.18
597.5,-6.67,-0.03,5.25
598,-2.25,-5.45,-1.83
598.5,0.55,-6.07,-1.19
599,-2.23,0.98,0.54
599.5,-1.15,-5.77,4.06
600,0.67,0.05,-0.33
600.5,0.89,0.13,0
601,3.59,3.8,-1.43
601.5,4.31,6.83,-1.18
602,0.07,5.23,-2.21
602.5,-1.42,10.77,0.02
603,2.18,-3.62,0.3
603.5,-3.61,7.02,2.32
604,-4.62,1.84,1.26
604.5,3.46,4.24,-0.74
605,-12.14,0.74,-2.04
605.5,7.17,-4.03,1.93
606,-6.54,4.08,-30.57
606.5,-3.79,-1.67,-42.48
607,-0.55,2.72,-4.2
607.5,3.63,-6.01,4.23
608,12.07,-0.37,-8.08
608.5,12.27,9.92,-24.53
609,10.43,10.31,-60.13
609.5,19.56,-3.28,4.67
610,2.65,-0.27,-0.58
610.5,0.44,2.8,-1.99
611,-1.42,-3.53,4.7
611.5,-6.77,-5.07,1.27
612,0.65,-2.57,-3.03
612.5,3.24,11.81,-3.43
613,-2.13,3.78,0.6
613.5,-1.93,0.07,0.67
614,2.1,0.27,1.12
614.5,1.06,2.71,2.07
615,-1.53,-2.4,0.88
615.5,-3.1,-2.52,-0.47
616,-0.71,-1.34,0.02
616.5,0.05,1.14,-0.8
617,2.05,-0.01,1.44
617.5,-0.41,-5.42,-2.88
618,-1.04,1.81,-1.78
618.5,-0.59,0.47,-0.25
619,0.29,-1.45,-0.45
619.5,5.82,1.61,0.07
620,0.63,1.71,-0.83
620.5,2.3,3.75,0.49
621,0.75,0.2,1.34
621.5,-3.03,-3.59,-1.76
622,-2.4,5.71,0.93
622.5,0.96,2.71,2.06
623,0,0,0
623.5,-0.45,2.65,-1.06
624,2.1,2.1,1.83
624.5,-0.8,-2.76,2.82
625,7.27,-1.03,1.57
625.5,1.55,2.22,-1.77
626,1.18,4.75,-0.79
626.5,1.04,-2.39,-2.38
627,3.18,1.38,0.19
627.5,-0.92,4.61,-1.58
628,0.05,1.12,-2.78
628.5,0.55,-5.54,-0.96
629,2.29,-1.77,0.25
629.5,-3.14,-6.04,6.29
630,13.66,2.54,-3.14
630.5,0.08,1.91,-1.16
631,2,-0.37,0.23
631.5,-1.62,0.3,-1.56
632,4.5,1.47,-1.63
632.5,-3.86,0.73,-0.58
633,0.85,0.66,-0.64
633.5,-8.35,6.16,2.36
634,-0.25,-1.14,1.96
634.5,-1.92,-0.13,1.64
635,-2.22,-2.31,-0.37
635.5,-2.16,-0.86,-0.36
636,1.22,6.04,-1.21
636.5,-2.33,-0.93,-1.62
637,-2.87,-0.87,-1.23
637.5,-0.22,2.34,0.54
638,1.16,-1.72,-2.91
638.5,-1.08,5.98,-2.2
639,2.31,-0.46,0.36
639.5,15.03,0.48,-0.02
640,7.31,-0.06,-0.97
640.5,3.52,-0.55,0.79
641,0.68,1.03,1.1
641.5,-0.66,-0.19,-0.47
642,-1.49,0.88,0.03
642.5,0.61,-1.2,-1.51
643,-4.16,2.82,-1.19
643.5,2.17,0.26,1.35
644,0.04,0.84,4.25
644.5,0.49,0.39,-2.32
645,2.46,-0.16,0.78
645.5,-1.55,-1.88,-0.16
646,-0.19,0.42,8.86
646.5,-0.35,0.48,0.65
647,2.75,-2.31,0.69
647.5,3.15,-0.87,1.62
648,-0.41,-0.83,0.11
648.5,0.11,0.37,-0.4
649,0.73,-1.22,-1.06
649.5,1.14,0.02,-0.29
650,2.27,-0.22,-0.03
650.5,-1.72,2.61,1.12
651,-0.78,-0.94,2.1
651.5,0.57,0.74,0.9
652,-0.78,0.45,6.28
652.5,-1.91,2.75,-0.37
653,0.09,-2.26,-1.02
653.5,-0.22,-1.13,0.86
654,5.77,1.12,-0.76
654.5,-3.06,0.35,1.55
655,-1.34,-0.38,0.54
655.5,-3.83,4.1,-1.9
656,-2.43,-0.02,-0.84
656.5,-4.16,-2.74,-2.42
657,0,-0.82,0.16
657.5,-4.25,0.04,-5.62
658,-1.4,3.94,0.4
658.5,-2.73,1.33,-0.83
659,-1.23,0.83,-1.52
659.5,-0.33,0.61,1.04
660,1.25,-0.45,-0.19
660.5,8.02,-1.36,0.64
661,-4.6,-0.42,0.9
661.5,-7.84,0.48,-1.42
662,3.95,-0.9,0.39
662.5,0.36,-1.18,-2.07
663,-4.08,-0.01,-1.5
663.5,0.29,-0.44,1.44
664,0.2,-0.7,-1.9
664.5,3.62,-1.83,3.67
665,3.69,-1.05,2.75
665.5,-8.52,-0.21,-2.17
666,-0.9,0.15,-0.07
666.5,3.5,-0.95,-2.65
667,4.2,-0.39,-1.8
667.5,-3.99,-0.13,-1.87
668,0.79,1.01,-1.02
668.5,1.76,-0.26,-0.59
669,1.94,-1.28,2.95
669.5,2.99,0.8,-0.19
670,-1.83,-0.24,-1.53
670.5,-1.8,-2.47,-5.71
671,-1.04,-0.56,0.81
671.5,3.27,0.13,0.4
672,-1.33,1.06,0.29
672.5,-6.06,2.79,-3.07
673,10.84,-1.8,0.22
673.5,-3.8,2.19,-3.48
674,-7.13,-11.59,1.78
674.5,6.36,3.75,0.2
675,2.33,3.47,1.28
675.5,-5.28,-1.66,3.81
676,0.99,26.37,3.07
676.5,-1.88,10.25,1.08
677,-4.56,0.5,-1.34
677.5,2.62,-25.31,2.5
678,19.13,9.44,0.72
678.5,-4.65,7.1,3.3
679,19.5,34.24,6.96
679.5,-8.82,2.23,26.16
680,-6.93,15.16,4.99
680.5,-4.94,1.35,7.21
681,4.08,17.73,6.68
681.5,10.84,-18.81,9.56
682,-23.02,37.8,-13.58
682.5,8.96,0.83,3.57
683,1.25,-11.04,-0.92
683.5,2.27,-12.59,1.64
684,5.7,-1.04,-1.3
684.5,5.31,13.84,2.12
685,-9.7,7.65,2.99
685.5,18.34,17.73,-0.84
686,6.23,3.04,4.38
686.5,-2.47,-17.25,2.76
687,2.62,-4.62,-0.91
687.5,-1.06,1.17,-1.97
688,-3.55,-11.51,-1.37
688.5,-2.15,-5.2,2.05
689,-1.4,4.36,-0.1
689.5,3.03,6.57,-0.53
690,2.99,1.93,-4.48
690.5,6.95,-0.64,-0.22
691,-1.02,0.54,-5.73
691.5,1.47,0.21,2.63
692,5.39,-13.36,0.64
692.5,-8.91,1.35,2.94
693,-7.08,6.85,-4.72
693.5,-5.89,2.09,2.02
694,-5.28,-1.52,-1.5
694.5,2.42,2.28,8.17
695,-0.67,7.3,-2.65
695.5,-4.4,-0.92,5.72
696,-2.49,0.17,-2.65
696.5,3.28,6.65,-1.02
697,-1.72,-0.15,1.85
697.5,3.57,-0.6,-0.82
698,-2.77,-7.01,-1.27
698.5,2.91,-13.16,-7.6
699,1.57,7.25,1.94
699.5,5.85,13.18,-6.7
700,-3.14,0.7,-2.48
700.5,9.3,-0.84,-6.74
701,0.17,-1.65,-0.26
701.5,2.14,2.45,-22.07
702,-0.64,3.07,-0.9
702.5,4.4,0.36,16.22
703,1.17,-13.9,-3.2
703.5,4.9,-0.64,-2.81
704,-7.45,-2.57,-2.12
704.5,-9.6,-0.41,2.82
705,-4.93,-4.35,3.32
705.5,4.86,4.51,-2.97
706,-4.3,1.81,-3
706.5,1.11,-7.01,1.38
707,0.07,-2.55,-2.56
707.5,0.67,-4.36,-0.16
708,1.12,1.79,2.45
708.5,5.84,-1.91,-7.4
709,8.39,-2.33,3.86
709.5,1.25,1.79,1.27
710,-6.01,4.4,-3.5
710.5,-2.83,3.09,1.61
711,-10.09,-2.46,18.41
711.5,-12.91,3.78,-5.83
712,11.85,-4.1,3.45
712.5,4.36,-3.1,-4.21
713,0.39,-1.39,0.31
713.5,-15.27,2.33,0.91
714,7.79,-5.29,-3.69
714.5,-4.05,0.95,-2.3
715,12.18,-6.51,14.21
715.5,0.78,8.04,-0.24
716,-2.93,2.95,1.68
716.5,3.38,9.36,3.68
717,-0.21,2.04,3.04
717.5,-0.33,-3.03,-10.1
718,-1.9,3.84,9.49
718.5,-3.92,1.28,-5.72
719,-1.65,-1.18,-3.41
719.5,-9.29,1.02,-6.29
720,0.63,0.6,13.75
720.5,-2.19,-9.22,-0.74
721,4.47,1.2,5.69
721.5,3.85,1.11,-9.38
722,-3.62,1.89,2.54
722.5,10.04,0.14,5.63
723,-0.08,1.7,0.82
723.5,-4.28,7.09,-5.96
724,2.65,4.47,-1.56
724.5,-4.36,-1.28,-0.1
725,5.83,-5.8,4.37
725.5,0.9,0.98,7.07
726,4.16,13.29,6.48
726.5,2.62,0.84,0.31
727,2.07,-4.24,-9.42
727.5,-4.21,-1.49,2.41
728,7.35,-3.86,4.13
728.5,0.75,2.74,-1.43
729,-1.28,-0.83,-2.06
729.5,-8.14,0.43,8.95
730,-3.3,-0.76,-3.03
730.5,0.17,-5.26,4.51
731,11.81,1.22,-1.24
731.5,-0.13,-0.86,8.61
732,2.03,2.58,-0.44
732.5,0.07,-1.48,-6.38
733,-3.79,0.95,5.66
733.5,2.35,3.41,1
734,4.55,2.88,-1.75
734.5,-6.9,4.66,15.68
735,-0.57,-6.56,-5.96
735.5,2.1,-6.63,-3.67
736,0.11,-1.33,-2.2
736.5,-8.13,1.84,2.75
737,-0.47,2.42,-1.83
737.5,-4.66,15.75,-5.07
738,-4.51,-4.78,-3.06
738.5,-3.42,2.04,-2.71
739,-1.78,-3.59,-8.8
739.5,-0.75,5.59,-0.47
740,-0.73,0.53,9.44
740.5,2.42,-3.64,-2.63
741,-3.34,1.53,-5.81
741.5,9.15,1.96,-8.73
742,2.4,-0.36,-8.82
742.5,-4.7,-3.35,-1.62
743,0.59,-8.8,5.29
743.5,0.97,-6.13,1.76
744,0.45,3.4,15.17
744.5,1.16,-5.28,-6.59
745,2.91,-1.88,-2.35
745.5,-2.41,-7.49,-2.26
746,-5.13,0.3,0.72
746.5,-1.01,-2.5,-4.41
747,-2.29,-5.04,-1.06
747.5,-0.85,5.37,-2.81
748,2.17,4.22,4.88
748.5,1.55,-0.32,-3.21
749,-3.46,1.16,8.39
749.5,-7.06,8.98,-2.05
750,-3.99,0.24,-5.03
750.5,3.53,-3.88,-4.05
751,-4.14,-0.82,-2.72
751.5,4.21,-4.37,-10.12
752,-1.95,6.68,0.57
752.5,-0.78,-2.44,4.42
753,-3.34,-6.41,3.82
753.5,-3.01,0.34,0.47
754,-1.08,2.09,-13.11
754.5,-1.04,0.76,-1.71
755,-9.82,6.09,-1.68
755.5,-3.76,-9.54,4.18
756,-8.63,-2.35,3.33
756.5,6.33,-3.49,0.64
757,-8.14,3.3,-4.96
757.5,1.8,0.76,-6.31
758,7.89,0.42,-2.2
758.5,0.52,1.3,14.4
759,4.94,-7.57,7.44
759.5,6.78,10.38,-10.28
760,1.4,6.92,0.57
760.5,2.14,-2.67,-6.32
761,-2.27,5.32,-3.33
761.5,0.53,4.12,2.14
762,0.21,1.29,-4.95
762.5,0.87,-2.89,8.56
763,-2.18,7.72,11.71
763.5,3.32,-1.59,-0.4
764,1.99,-2.43,1.71
764.5,8.95,1.16,5.61
765,-5.69,-5.88,10.67
765.5,-5.43,-8.69,-7.17
766,4,-1.94,-3.16
766.5,-0.85,0.32,-9.07
767,0.08,0.44,-1.29
767.5,-8.1,8.83,-3.67
768,4.75,15.87,-16.98
768.5,2.92,1.66,14.01
769,-18.39,0.6,-9.87
769.5,9.58,1.58,-12.06
770,-0.92,2.03,22.63
770.5,-3.75,-2.3,-8.13
771,1.45,-4.25,4.36
771.5,0.58,1.84,0.46
772,-2.22,-1.61,-0.26
772.5,1.31,6.47,-1.96
773,5.67,2.02,3.32
773.5,-0.26,0.06,0.69
774,-5.92,-4.72,1.36
774.5,0.96,0.65,0.12
775,-2.86,-3.48,-3.95
775.5,6.28,0.91,4.54
776,-0.9,3.47,-5.83
776.5,1.17,3.43,-6.42
777,1.54,-0.88,7.19
777.5,-2.06,0.55,-3.13
778,-2.89,0.75,14.44
778.5,-2,-6.92,-14.55
779,2.09,-1.84,1.56
779.5,1.36,-0.76,9.58
780,0.99,1.11,3.47
780.5,5.91,1.49,-2.15
781,-2.8,-3.82,3.16
781.5,-9.11,1.75,-0.02
782,-0.41,1.67,-1.87
782.5,12.39,0.48,-4.74
783,-1.93,0.18,0.39
783.5,0,-2.59,4.44
784,4.49,-0.11,0.57
784.5,0.54,-0.49,1.58
785,1.36,-2.17,-2.65
785.5,-1.68,-1.61,-0.79
786,0.66,7.25,-0.5
786.5,1.34,13.32,-5.79
787,1.87,-1.46,-7.16
787.5,2.88,-2.76,-2.32
788,1.46,-1.24,5.53
788.5,-3.2,5.63,-3.23
789,-2.27,3.31,1.58
789.5,-0.2,0.5,2.94
790,-1.09,-13.5,-26.24
790.5,2.65,-10.17,13.94
791,-3.1,12.61,-3.49
791.5,-2.31,-1.07,9.44
792,-0.62,2.27,-2.54
792.5,-0.4,-0.16,10.65
793,-5.63,2.14,-0.87
793.5,13.25,7.02,-12.04
794,1.82,-4.82,-5.11
794.5,0.49,-0.49,-0.2
795,2.82,-0.64,-1.53
795.5,-0.08,-2.89,-0.52
796,-0.85,-0.43,-3.73
796.5,2.55,2.68,-5.29
797,-0.14,0.84,0.77
797.5,0,0,0
798,1.04,-0.8,0.1
798.5,0.27,1.42,-5.57
799,-7.7,-0.57,2.08
799.5,13.26,-5.56,-1.51
800,3.77,-1.41,-0.69
800.5,-12.1,3.24,3.03
801,0.7,5.74,-4.43
801.5,1.88,4.39,-1.46
802,-2.83,-4.72,2.19
802.5,3.96,1.72,-4.05
803,2.43,13.92,-1.72
803.5,0.52,1.54,-2.08
804,1.37,-2.27,-0.71
804.5,-1.06,0.72,0.05
805,2.8,-7.89,-0.67
805.5,3.75,-0.5,-4.49
806,0.43,5.94,2.48
806.5,1.35,12.79,-4.78
807,-3.03,8.39,3.29
807.5,3.62,2.68,5.1
808,-0.07,-0.78,-5
808.5,-3.44,1.01,-1.42
809,4.91,-11.16,4.35
809.5,1.78,4.48,5.04
810,-7.68,0.86,3.23
810.5,-8.9,2.59,-4.64
811,3.77,-2.5,-1.68
811.5,-1.02,11.71,3.94
812,3.63,-2.73,-3.97
812.5,-6.35,1.23,-2.43
813,-9.14,5.82,-2.46
813.5,3.41,0.04,4.87
814,-2.19,9.5,-3.5
814.5,-7.21,1.24,2.31
815,-1.43,1.46,5.74
815.5,-6.18,0.26,-3.05
816,3.66,-2.85,-4.6
816.5,-6.67,4.82,-10.84
817,-1.52,3.02,4.61
817.5,3.65,-0.2,-11.21
818,3.84,-1,-0.66
818.5,3.14,-1.52,2.99
819,3.35,0.15,-3.68
819.5,-2.42,-5.49,3.32
820,5.73,0.02,-6.11
820.5,-5.78,1.23,0.62
821,-2.05,-2.43,1.21
821.5,1.24,0.21,0.84
822,2.98,3.44,2.53
822.5,-4.33,-9.5,7.27
823,-7.44,-3.13,0.78
823.5,0.94,2.25,-1.96
824,5.4,10.79,-4.54
824.5,1.06,0.76,-4.09
825,-0.44,0.53,-0.72
825.5,3.16,0.24,-4.48
826,0.13,-5.72,2.9
826.5,-1.85,2.69,-4.47
827,8.85,-0.07,1.98
827.5,4.59,3.89,-5.54
828,-1.3,0.22,-7.62
828.5,-1.64,-3.81,-0.67
829,6.38,-0.4,0.91
829.5,-2.48,-4.03,3.76
830,0.74,0.09,2.91
830.5,-6.97,-1.13,-0.19
831,8.36,0.17,-0.47
831.5,5.12,0.57,-3.46
832,-2,0.84,-4.48
832.5,-14.78,-2.14,5.78
833,-7.96,1.17,1.85
833.5,-0.18,-0.53,4.8
834,11.9,1.09,9.76
834.5,6.09,0.89,-4.42
835,4.85,-5.95,-2.27
835.5,1.11,1.1,-0.64
836,-4.9,4.43,0.65
836.5,-2.72,-0.53,5.47
837,-0.21,-0.95,-5.32
837.5,-1.61,-5.09,-2.44
838,-0.79,-2.46,2.09
838.5,-2.05,0.14,7.7
839,-1.09,0.74,-1.97
839.5,-0.28,4.16,1.51
840,3.04,-4.22,10.46
840.5,1.14,0.78,-1.61
841,-10,3.9,-2.19
841.5,-0.5,-1.56,0.28
842,8.03,4.63,-0.85
842.5,1.5,6.21,-10.51
843,-0.55,-1.67,2.74
843.5,2.59,-1.44,0.35
844,1.71,9.73,1.3
844.5,-2.43,-1.79,11.18
845,6.74,-7.43,1.09
845.5,-25.25,5.46,-15.43
846,4.03,-11.45,0.63
846.5,4.57,0.43,0.17
847,2.05,0.14,-0.26
847.5,-1.53,3.3,3.36
848,12.22,-1.8,-20.96
848.5,-5.05,-4.05,-7.51
849,-10.63,0.76,-9.31
849.5,5.31,0.76,2.71
850,-1.34,5.16,-1.3
